fips,county_name,shortage_type,count
17095,"Knox County, Illinois",Mental Health,1
17097,"Lake County, Illinois",Primary Care,2
17097,"Lake County, Illinois",Dental,2
17097,"Lake County, Illinois",Mental Health,2
17099,"LaSalle County, Illinois",Primary Care,2
17099,"LaSalle County, Illinois",Dental,2
17099,"LaSalle County, Illinois",Mental Health,1
17101,"Lawrence County, Illinois",Primary Care,2
17101,"Lawrence County, Illinois",Dental,2
17101,"Lawrence County, Illinois",Mental Health,1
17103,"Lee County, Illinois",Primary Care,1
17103,"Lee County, Illinois",Dental,2
17103,"Lee County, Illinois",Mental Health,1
17105,"Livingston County, Illinois",Primary Care,2
17105,"Livingston County, Illinois",Dental,2
17105,"Livingston County, Illinois",Mental Health,1
17107,"Logan County, Illinois",Primary Care,1
17107,"Logan County, Illinois",Dental,2
17107,"Logan County, Illinois",Mental Health,1
17109,"McDonough County, Illinois",Primary Care,2
17109,"McDonough County, Illinois",Dental,2
17109,"McDonough County, Illinois",Mental Health,1
17111,"McHenry County, Illinois",Primary Care,0
17111,"McHenry County, Illinois",Dental,0
17111,"McHenry County, Illinois",Mental Health,1
17113,"McLean County, Illinois",Primary Care,2
17113,"McLean County, Illinois",Dental,2
17113,"McLean County, Illinois",Mental Health,1
17115,"Macon County, Illinois",Primary Care,2
17115,"Macon County, Illinois",Dental,2
17115,"Macon County, Illinois",Mental Health,1
17117,"Macoupin County, Illinois",Primary Care,1
17117,"Macoupin County, Illinois",Dental,2
17117,"Macoupin County, Illinois",Mental Health,1
17119,"Madison County, Illinois",Primary Care,2
17119,"Madison County, Illinois",Dental,0
17119,"Madison County, Illinois",Mental Health,1
17121,"Marion County, Illinois",Primary Care,2
17121,"Marion County, Illinois",Dental,2
17121,"Marion County, Illinois",Mental Health,1
17123,"Marshall County, Illinois",Primary Care,1
17123,"Marshall County, Illinois",Dental,0
17123,"Marshall County, Illinois",Mental Health,1
17125,"Mason County, Illinois",Primary Care,1
17125,"Mason County, Illinois",Dental,2
17125,"Mason County, Illinois",Mental Health,1
17127,"Massac County, Illinois",Primary Care,2
17127,"Massac County, Illinois",Dental,2
17127,"Massac County, Illinois",Mental Health,1
17129,"Menard County, Illinois",Primary Care,0
17129,"Menard County, Illinois",Dental,1
17129,"Menard County, Illinois",Mental Health,1
17131,"Mercer County, Illinois",Primary Care,1
17131,"Mercer County, Illinois",Dental,0
17131,"Mercer County, Illinois",Mental Health,1
17133,"Monroe County, Illinois",Primary Care,0
17133,"Monroe County, Illinois",Dental,0
17133,"Monroe County, Illinois",Mental Health,1
17135,"Montgomery County, Illinois",Primary Care,2
17135,"Montgomery County, Illinois",Dental,2
17135,"Montgomery County, Illinois",Mental Health,1
17137,"Morgan County, Illinois",Primary Care,2
17137,"Morgan County, Illinois",Dental,2
17137,"Morgan County, Illinois",Mental Health,1
17139,"Moultrie County, Illinois",Primary Care,1
17139,"Moultrie County, Illinois",Dental,2
17139,"Moultrie County, Illinois",Mental Health,1
17141,"Ogle County, Illinois",Primary Care,1
17141,"Ogle County, Illinois",Dental,0
17141,"Ogle County, Illinois",Mental Health,1
17143,"Peoria County, Illinois",Primary Care,2
17143,"Peoria County, Illinois",Dental,2
