fips,county_name,svi_overall,svi_socioeco,svi_hh_char,svi_minority,svi_housing,pct_poverty,pct_unemp_svi,pct_uninsured_svi
17139,Moultrie County,0.4827,0.3926,0.4298,0.0229,0.8476,17.2,4.1,13.9
17141,Ogle County,0.3131,0.2539,0.5982,0.4378,0.28,17.2,6,4.9
17143,Peoria County,0.6656,0.5444,0.6446,0.6923,0.7041,24.3,6.6,6.3
17145,Perry County,0.6001,0.4677,0.545,0.4057,0.8263,26,6.1,3.9
17147,Piatt County,0.0045,0.0745,0.042,0.0299,0.0086,12.4,4.7,3.9
17149,Pike County,0.2771,0.2988,0.8091,0.0337,0.1581,23.6,4.7,5.9
17151,Pope County,0.3277,0.391,0.2657,0.3086,0.4114,23.5,9.1,4
17153,Pulaski County,0.6357,0.5256,0.7111,0.749,0.5428,36.8,4.2,6.9
17155,Putnam County,0.0048,0.014,0.2269,0.2536,0.0032,11.5,3.2,3.1
17157,Randolph County,0.4897,0.3077,0.6322,0.3939,0.6869,20.2,5.2,4.9
17159,Richland County,0.413,0.189,0.8995,0.0881,0.5577,22.3,4.2,5.8
17161,Rock Island County,0.7556,0.5816,0.8482,0.6701,0.7385,23.5,6.2,6.3
17163,St. Clair County,0.532,0.4438,0.5902,0.7821,0.4505,20.7,5.7,5.4
17165,Saline County,0.6557,0.5934,0.7372,0.2109,0.7506,27.8,5.9,5.6
17167,Sangamon County,0.4041,0.2437,0.4531,0.546,0.5978,19.8,5.2,3.8
17169,Schuyler County,0.4957,0.4674,0.7719,0.2323,0.4238,25.3,6.7,9.6
17171,Scott County,0.0512,0.0652,0.4976,0.0264,0.0455,18.2,2.9,5
17173,Shelby County,0.1069,0.0935,0.259,0.0099,0.2953,18.9,4,4.4
17175,Stark County,0.0579,0.2059,0.2351,0.1457,0.014,19.2,3.3,5.7
17177,Stephenson County,0.5218,0.4668,0.6621,0.5119,0.4537,23.3,5.3,6.1
17179,Tazewell County,0.1085,0.1075,0.1311,0.1572,0.3204,16,3.9,4.9
17181,Union County,0.602,0.6631,0.4378,0.265,0.7063,27.1,6.3,6.4
17183,Vermilion County,0.6806,0.5116,0.8231,0.5679,0.6904,27.4,6.7,5
17185,Wabash County,0.4209,0.2294,0.7712,0.1928,0.6045,24.7,4.4,5.6
17187,Warren County,0.5441,0.4661,0.7143,0.4973,0.4948,23.2,7.3,6
17189,Washington County,0.0347,0.0885,0.1168,0.0379,0.0585,14.8,4.7,3.2
17191,Wayne County,0.4843,0.4811,0.6468,0.0229,0.5772,25.7,3.6,11.6
17193,White County,0.3999,0.4209,0.6577,0.0191,0.4193,26.9,3.5,7.2
17195,Whiteside County,0.3236,0.2669,0.7652,0.4814,0.1661,19.3,4.4,5.5
17197,Will County,0.244,0.2062,0.3904,0.7706,0.1559,11.4,5,5.5
17199,Williamson County,0.3948,0.3038,0.6192,0.3388,0.4553,22.2,4.4,5.6
17201,Winnebago County,0.7728,0.7502,0.8591,0.7127,0.5227,26,7.5,6.4
17203,Woodford County,0.0175,0.0515,0.0795,0.0675,0.057,13.6,3.3,4.6
