fips,county_name,poverty_rate,median_hh_income,unemployment_rate,snap_rate,rent_burden_rate,pct_no_hs,pct_hs_grad,pct_bachelor_plus,uninsured_rate
17127,"Massac County, Illinois",16.27,65116,3.85,17.06,38.53,1.81,28.69,17.05,7.8
17129,"Menard County, Illinois",10.12,82176,3.52,14.52,48.14,0.81,28.93,28.29,2.2
17131,"Mercer County, Illinois",8.92,74182,3.15,9.93,34.62,0.89,32.07,20.88,4.6
17133,"Monroe County, Illinois",5.02,102880,1.92,4.44,44.14,0.13,20.83,38.66,2.5
17135,"Montgomery County, Illinois",12.6,63620,4.73,15.43,39.16,0.51,34.49,18.31,4.5
17137,"Morgan County, Illinois",13.42,66306,5.37,16.24,31.1,1.71,33.59,22.59,4.4
17139,"Moultrie County, Illinois",9.16,71784,2.17,11.83,30.14,0.34,29.24,18.96,14.1
17141,"Ogle County, Illinois",8.36,82132,5.04,10.72,34.89,1.13,28.44,24.28,4.1
17143,"Peoria County, Illinois",15.67,65108,6.16,17.99,42.95,1.15,23.17,34.87,5.8
17145,"Perry County, Illinois",16.94,62118,4.55,18.97,37.18,0.48,24.85,13.67,3.5
17147,"Piatt County, Illinois",6.14,94811,2.78,6.25,26.79,0.14,30.5,32.89,3.3
17149,"Pike County, Illinois",14.85,59777,3.94,15.94,32.86,1.18,37.63,18.49,5.7
17151,"Pope County, Illinois",13.31,60050,2.79,9.1,24.21,2.71,33.44,15.67,3.1
17153,"Pulaski County, Illinois",24.98,42463,4.28,22.89,22.73,0.7,35.56,13,4.7
17155,"Putnam County, Illinois",8.09,75590,4.17,8.32,25.6,0.48,31.75,22.86,3
17157,"Randolph County, Illinois",14.63,68131,5.04,12.88,38.33,1.39,31.33,15.25,5.3
17159,"Richland County, Illinois",12.08,62455,3.12,15.74,34.36,0.68,27.84,19.08,6.1
17161,"Rock Island County, Illinois",15.5,67159,5.58,15.95,43.29,1.9,25.23,24.72,6.1
17163,"St. Clair County, Illinois",13.58,73854,5.77,16.16,44.47,1.24,22.14,31.8,5.1
17165,"Saline County, Illinois",18.94,53117,7.73,26.16,42.66,1.7,25.2,19.61,5.4
17167,"Sangamon County, Illinois",13.11,75357,5.4,15.46,41.5,0.67,23.94,36.61,3.6
17169,"Schuyler County, Illinois",20.77,65948,4.95,11.63,32.38,0.87,31.81,19.07,10.4
17171,"Scott County, Illinois",11.46,66705,2.72,16.23,19.77,0.28,40.7,21.52,5.5
17173,"Shelby County, Illinois",9.15,72095,3.01,13.96,28.03,0.31,35.42,18.32,4.4
17175,"Stark County, Illinois",11.05,62878,2.33,11.55,36.56,0.63,31.88,21.43,5.8
17177,"Stephenson County, Illinois",13.93,64043,4.32,17,39.03,1.03,27.44,20.71,5.2
17179,"Tazewell County, Illinois",9.02,77982,3.57,10.37,39.39,0.66,25.71,28.39,5.1
17181,"Union County, Illinois",20.22,55728,3.93,17.34,44.67,1.12,27.79,20.94,6.4
17183,"Vermilion County, Illinois",17.67,56877,6.14,19.54,41.73,1.05,31.53,19.23,4.9
17185,"Wabash County, Illinois",16.69,57086,4.37,20.38,33.42,0.67,26.74,18.59,4.2
17187,"Warren County, Illinois",14.63,67385,3.59,15.96,28.77,1.75,29.49,21.97,5
17189,"Washington County, Illinois",7.53,78224,4.35,9.47,21.82,1.26,25.57,23.47,3.4
17191,"Wayne County, Illinois",16.12,55521,3.42,14,32.48,0.71,28.81,16.25,12.1
17193,"White County, Illinois",16.37,54813,3.96,18.71,31.15,0.81,28.02,18.29,4.9
17195,"Whiteside County, Illinois",11.98,67500,4.35,14.07,39.8,1.45,31.68,20.45,5
17197,"Will County, Illinois",7.33,109984,4.92,10.09,47.17,1.72,21.87,37.49,5.2
17199,"Williamson County, Illinois",13.75,65604,4.98,16.62,42.82,0.87,24.26,26.25,4.6
17201,"Winnebago County, Illinois",15.62,65837,7.25,20.45,46.88,1.6,24.48,25.22,6.2
17203,"Woodford County, Illinois",7.03,91483,3.5,5.45,39.55,0.56,23.66,35.92,5.2
