fips,county_name,poverty_rate,median_hh_income,unemployment_rate,snap_rate,rent_burden_rate,pct_no_hs,pct_hs_grad,pct_bachelor_plus,uninsured_rate,obesity_pct,depression_pct,diabetes_pct,copd_pct,smoking_pct,mammography_pct,inactivity_pct,asthma_pct,uninsured_places,hypertension_pct,colorectal_screen_pct,svi_overall,svi_socioeco,svi_hh_char,svi_minority,svi_housing,pct_poverty,pct_unemp_svi,pct_uninsured_svi,eji_overall,eji_env_burden,eji_social_vuln,eji_health_vuln,n_tracts,hpsa_prim_care,hpsa_dental,hpsa_mental_health,hpsa_any_shortage,hpsa_prim_care_designated,pct_lila_tracts,mean_dist_supermarket,pct_no_vehicle_far,premature_death,poor_health_days,poor_mental_days,social_associations,voter_turnout,adult_smoking,adult_obesity,food_insecurity,n_districts,total_enrollment,pct_free_lunch,pct_reduced_lunch
17021,"Christian County, Illinois",10.19,62611,4.57,15.28,29.53,0.91,39.91,17.14,3.9,38.1,22.4,12.3,8.6,16.1,73.2,25.5,10.3,8.7,37.5,60.8,0.1966,0.2329,0.2173,0.1508,0.3509,20.8,4.4,4.4,0.625,0.6985,0.4611,0.4,10,2,2,1,1,1,0,67.9622,140.35,8450.8408721,4.4551307539,5.5632340392,13.159468836,74.27220334,17.4,36.4,13.1,9,2883,NA,NA
17023,"Clark County, Illinois",9.15,72927,3.71,13.41,43.73,0.5,30.32,24.92,4.7,37.3,22.5,12,8.3,14.9,71.9,23.2,10.3,7.3,36.8,64.9,0.0745,0.1553,0.1642,0.015,0.1238,17.5,4,4.8,0.4267,0.4959,0.3694,0.3,4,2,2,1,1,1,25,94.6871,172.14,9614.9137236,4.1759878394,5.469146813,18.385974128,81.70380476,14.8,35,11.4,7,2266,NA,NA
17025,"Clay County, Illinois",17.51,60417,4.84,18.51,19.73,1.33,31.45,13.1,5.1,41.5,23.6,13.9,10.3,17.8,70.1,27.8,10.8,9,39.7,59.4,0.5813,0.5196,0.8673,0.0407,0.5956,26.4,6,6.4,0.679,0.5241,0.6276,0.55,4,1,2,1,1,1,0,91.0174,206.36,8233.1904113,4.7490253388,5.8375747297,17.628573618,80.70336955,19.3,38.3,15.2,6,2164,NA,NA
17027,"Clinton County, Illinois",7.37,86588,3.41,9,32.8,0.48,26.47,25.86,4.8,40.2,21.7,11.3,7.4,14,76.5,22.2,10.3,7.5,35.5,64.8,0.1168,0.0754,0.0951,0.2444,0.4664,14.9,3,5.4,0.2758,0.3299,0.3334,0.2,9,1,2,1,1,1,0,88.8192,268.09,5625.5482976,4.1053052063,5.2393147298,13.275894768,79.34038581,15.7,35.3,10.1,20,4799,NA,NA
17029,"Coles County, Illinois",18.7,56478,6.1,18.95,40.39,1.49,25.82,26.9,7.1,37.7,24.1,11.4,8.2,14.8,69.3,24.2,10.8,8.2,34,62.4,0.5574,0.6892,0.0566,0.2984,0.8941,28.3,6.9,6.9,0.4959,0.3476,0.5295,0.4308,13,2,2,0,1,1,50,80.1267,290.71,9240.855685,4.5906946658,5.7046444937,14.891872059,60.38357512,17.299999999999997,38.5,16.1,9,5279,NA,NA
17031,"Cook County, Illinois",13.49,83498,7,15.67,45.97,2.5,18.96,42.72,8.9,31,18.7,11.8,5.7,11.1,74.2,23.3,9.8,11.8,31,56.9,0.7964,0.7754,0.3926,0.9138,0.8298,21.1,7.1,9,0.5733,0.7469,0.5395,0.1932,1331,2,2,2,1,1,3.88,52.2141,195.31,8535.8650443,4.0410331407,5.1857119131,7.2025634863,57.50967342,12,32.800000000000004,12.1,127,404075,NA,NA
17033,"Crawford County, Illinois",12.09,71674,3,13.75,28.97,0.51,24.61,20.6,5.3,40.1,22.3,12.1,8.4,15.4,71.2,24.3,10.4,8.3,37.6,63.8,0.1919,0.1709,0.1635,0.2587,0.4467,17.9,3.3,6.2,0.4523,0.48,0.425,0.3,6,2,2,1,1,1,16.67,87.3935,190.24,7129.2934078,4.3087858542,5.3748085615,15.105740181,80.40750236000001,18.2,36.8,11.8,5,1560,NA,NA
17035,"Cumberland County, Illinois",9.09,73327,1.35,9.22,30.97,0.56,32.33,19.58,5.3,38.7,22.9,11.9,8.1,14.5,70.5,23.3,10.3,7.1,37.2,62.2,0.015,0.0347,0.1511,0.0191,0.0318,16,1.9,5.9,0.4262,0.5144,0.3767,0.2667,3,0,1,1,1,0,0,77.324700000000007,319.51,7351.9965738,4.1848058388,5.5231404984,10.654784967,83.46889952,16.5,37.2,11.5,5,2719,NA,NA
17037,"DeKalb County, Illinois",14.8,70724,6.8,14.73,53.6,1.24,22.5,32.95,5.1,35.1,23,10.3,6.3,12.6,75,22.5,10.4,9.2,30.4,62.6,0.5523,0.5087,0.2329,0.6166,0.7604,21.9,7,4.4,0.347,0.4977,0.3995,0.1217,23,2,2,1,1,1,23.81,86.9675,285.95,7707.8182975,4.1732091463,5.3231000551,10.575464921,60.86127079,14.2,35.699999999999996,12.6,16,10029,NA,NA
17039,"De Witt County, Illinois",9.97,71678,3.96,13.09,31.29,1.01,34.75,23.2,3.2,38.2,22.5,12.2,8.4,15.3,71.5,24.2,10.4,7.7,37.2,63.6,0.0493,0.1941,0.0751,0.0881,0.0538,20.2,5.4,4,0.4381,0.4987,0.3681,0.32,5,1,1,1,1,1,0,74.916,125.02,9245.6900913,4.3297167744,5.4894913888,13.063357283,76.844324,16.900000000000002,36.5,11.7,5,1993,NA,NA
17041,"Douglas County, Illinois",8.47,77320,2.52,12.43,28.54,1.14,28.88,20.86,15.4,38.5,22.6,11.7,8,15.1,73.1,24.7,10.4,9.4,35.4,61.9,0.4578,0.447,0.4454,0.3322,0.5492,18.1,3,17.1,0.4527,0.4431,0.4947,0.28,5,2,2,1,1,1,20,72.4617,630.78,6967.8380116,4.5448960793,5.7499265787,12.655024045,79.09474492000001,19,36.7,11,5,1674,NA,NA
17043,"DuPage County, Illinois",6.56,112096,4.93,7.42,42.61,1.8,15.8,51.84,5.2,29.2,17.4,10,5,9.5,76,19,8.9,7.2,30.7,65.2,0.2284,0.1632,0.1667,0.7296,0.3579,10.7,4.7,5.2,0.3208,0.6359,0.263,0.0712,219,2,2,2,1,1,0,70.6136,107.55,4711.3568893,3.3061991767,4.343224807,9.2626677569,73.12823858,9.7,29.4,9,37,42549,NA,NA
17045,"Edgar County, Illinois",12,59941,4.37,19.29,31.19,1.47,33.41,20.39,5.4,37.5,22.8,13.6,9.8,16.4,71.5,26.8,10.5,8.1,40.3,62.2,0.343,0.3067,0.3875,0.0099,0.6402,23.6,4.6,5.1,0.5774,0.4504,0.4933,0.48,5,1,1,1,1,1,40,89.0355,364.96,11162.282879,4.5676444606,5.6913794465,12.170632264,72.66158697,18,37.4,13.4,7,1768,NA,NA
17047,"Edwards County, Illinois",16.49,60519,5.57,17.14,37.75,0.77,29.19,13.95,6,40.3,23.6,14.1,10.3,17.3,68.9,27.3,10.8,8.3,40.2,63.2,0.3058,0.3789,0.8632,0.0299,0.1037,22.8,6.7,7,0.5033,0.2676,0.564,0.4667,3,1,1,1,1,1,33.33,68.9059,170.16,9576.2678977,4.5702896206,5.7247964884,29.649151705,79.15567282,16.900000000000002,37.2,14.4,2,552,NA,NA
